time,angle
518,88.62
519,90
520,90.92
520,90
521,89.08
522,87.7
523,88.16
524,88.16
525,88.16
526,88.62
527,88.16
528,87.7
529,86.79
530,87.24
531,88.16
531,87.7
532,88.16
533,87.24
534,87.7
535,87.7
536,88.16
537,88.16
538,88.62
539,88.62
540,88.16
541,88.62
541,88.62
542,88.16
543,88.16
544,88.62
545,87.7
546,88.62
547,89.54
548,88.16
549,87.24
550,88.16
551,88.16
552,88.16
552,88.62
553,87.24
555,89.08
556,88.62
557,88.16
558,90.46
559,91.38
560,90.46
561,91.38
562,88.62
563,89.08
563,90.46
564,89.08
565,88.62
566,87.7
567,88.16
568,87.7
569,88.16
570,88.16
571,87.7
572,88.62
573,88.62
574,87.7
574,88.16
575,88.16
576,87.7
577,88.16
578,87.7
579,88.62
580,88.62
581,88.16
582,88.62
583,87.7
584,86.79
584,88.62
585,87.24
586,87.7
587,88.16
588,88.16
589,87.24
590,87.7
591,88.16
592,88.62
593,88.16
594,87.7
595,88.16
595,88.62
596,90
598,90
599,90.92
600,90
601,90.92
602,89.54
603,89.08
604,87.7
605,88.16
606,88.16
606,87.7
607,87.7
608,88.16
609,88.16
610,86.79
611,88.16
612,88.62
613,87.7
614,88.16
615,88.16
616,88.16
617,88.62
617,88.62
618,87.7
619,88.16
620,88.62
621,88.16
622,87.7
623,88.16
624,87.7
625,88.62
626,88.16
627,88.62
627,88.62
628,87.7
629,87.24
630,88.62
631,87.24
632,87.7
633,87.7
634,88.62
635,87.7
636,89.08
637,88.16
638,87.7
638,88.16
640,91.84
641,92.3
642,92.3
643,92.3
644,93.21
645,92.3
646,91.38
647,89.54
648,87.7
649,88.16
649,88.16
650,87.7
651,87.7
652,88.16
653,88.62
654,88.16
655,88.16
656,87.7
657,87.7
658,87.7
659,88.62
660,87.7
660,88.62
661,88.62
662,88.16
663,88.62
664,88.16
665,88.16
666,87.7
667,87.7
668,87.7
669,87.7
670,88.16
670,88.16
671,88.62
672,88.16
673,88.16
674,87.7
675,88.16
676,88.62
677,88.62
678,90.46
679,90
680,90.92
681,88.62
681,90.46
683,90.92
684,90.92
685,88.62
686,87.7
687,88.16
688,87.24
689,88.16
690,88.62
691,87.24
692,88.62
692,88.62
693,88.62
694,87.24
695,88.16
696,88.16
697,88.16
698,87.7
699,88.16
700,88.16
701,88.16
702,88.62
703,88.16
703,87.24
704,88.16
705,88.16
706,88.16
707,88.62
708,87.7
709,88.16
710,86.33
711,88.16
712,88.62
713,87.7
713,88.62
714,87.7
715,89.08
716,90
717,90.92
718,90.92
719,90.46
720,91.38
721,91.38
722,87.7
723,88.62
724,87.24
724,88.16
726,88.62
727,87.7
728,88.16
729,87.7
730,87.24
731,88.16
732,88.62
733,88.16
734,88.62
735,88.62
735,88.16
736,88.62
737,88.62
738,86.79
739,88.16
740,87.24
741,87.24
742,88.62
743,88.16
744,86.79
745,88.16
746,87.7
746,88.16
747,87.7
748,89.08
749,88.62
750,88.16
751,88.62
752,86.79
753,87.7
754,88.16
755,90.46
756,90.92
756,87.7
757,90
758,90
759,91.38
760,90.92
761,89.54
762,88.16
763,88.62
764,90
765,86.33
766,88.62
768,88.62
768,87.7
769,88.62
770,88.16
771,88.16
772,87.7
773,87.7
774,88.16
775,88.62
776,88.62
777,88.16
778,87.7
778,88.16
779,88.62
780,87.7
781,87.7
782,87.24
783,86.79
784,88.16
785,86.79
786,88.16
787,87.7
788,87.7
789,87.7
789,88.16
790,87.7
791,87.7
792,86.79
793,87.7
794,88.16
795,87.7
796,88.62
797,90.46
798,91.38
799,91.38
799,90.92
800,90.92
801,90.46
802,90.92
803,91.38
804,88.62
805,89.08
806,88.16
807,88.62
808,88.62
809,88.16
811,88.16
811,88.16
812,88.16
813,88.16
814,87.24
815,87.7
816,88.62
817,88.62
818,88.62
819,87.7
820,87.7
821,88.16
821,88.16
822,86.79
823,86.79
824,88.16
825,88.62
826,87.7
827,87.7
828,86.33
829,86.79
830,88.16
831,87.7
832,87.7
832,87.24
833,87.7
834,87.7
835,87.7
836,89.08
837,90.92
838,90.46
839,88.62
840,89.54
841,89.54
842,90.46
842,91.38
843,89.08
844,88.16
845,88.62
846,89.08
847,87.7
848,88.16
849,88.16
850,88.62
851,88.62
852,88.16
854,88.16
854,88.62
855,88.62
856,88.16
857,87.7
858,87.7
859,88.16
860,87.24
861,88.62
862,89.08
863,88.16
864,88.16
864,88.16
865,88.16
866,88.16
867,87.7
868,87.7
869,88.16
870,87.7
871,87.7
872,87.7
873,87.7
874,88.16
875,88.16
875,88.62
876,87.7
877,87.24
878,88.62
879,89.54
880,88.16
881,90
882,89.08
883,88.62
884,88.16
885,91.84
885,92.76
886,92.76
887,89.54
888,88.62
889,87.24
890,87.24
891,87.24
892,88.62
893,88.16
894,88.62
896,88.62
897,88.16
897,87.7
898,87.7
899,87.7
900,88.62
901,87.7
902,87.7
903,88.16
904,88.62
905,87.24
906,88.16
907,87.7
907,86.79
908,88.16
